iter	Passed	Remaining
0	1	1009
1	1	894
2	2	886
3	3	874
4	4	848
5	5	829
6	5	821
7	6	808
8	7	821
9	8	846
10	9	869
11	10	854
12	11	843
13	11	836
14	12	827
15	13	819
16	14	816
17	14	813
18	15	814
19	16	812
20	17	810
21	18	811
22	19	818
23	20	843
24	21	842
25	22	860
26	23	859
27	24	859
28	25	858
29	26	853
30	27	854
31	28	852
32	29	853
33	30	854
34	31	855
35	31	856
36	32	855
37	33	856
38	34	854
39	35	853
40	36	858
41	38	882
42	39	882
43	40	879
44	41	877
45	42	876
46	43	875
47	44	879
48	45	878
49	46	880
50	47	877
51	47	874
52	48	871
53	49	869
54	50	869
55	51	866
56	52	866
57	53	864
58	54	869
59	55	868
60	56	866
61	57	872
62	58	871
63	59	871
64	60	870
65	61	867
66	62	864
67	63	863
68	65	884
69	66	888
70	68	890
71	69	900
72	70	897
73	72	903
74	73	900
75	73	899
76	75	900
77	76	899
78	78	916
79	80	920
80	81	921
81	87	981
82	88	974
83	89	977
84	90	975
85	93	992
86	95	1007
87	96	1004
88	103	1058
89	104	1059
90	105	1056
91	106	1053
92	107	1049
93	108	1045
94	109	1041
95	110	1038
96	111	1036
97	112	1032
98	114	1038
99	115	1038
100	116	1034
101	116	1030
102	117	1025
103	118	1020
104	119	1016
105	120	1013
106	120	1009
107	121	1005
108	123	1009
109	124	1005
110	125	1001
111	125	997
112	126	994
113	127	990
114	128	988
115	129	985
116	130	982
117	130	978
118	131	975
119	132	971
120	133	968
121	134	964
122	134	961
123	135	957
124	136	953
125	136	949
126	137	944
127	138	941
128	138	937
129	139	934
130	140	930
131	140	927
132	141	924
133	142	922
134	144	927
135	145	925
136	146	921
137	147	918
138	147	915
139	148	912
140	149	909
141	149	905
142	150	902
143	151	899
144	152	896
145	152	893
146	153	890
147	154	887
148	154	884
149	155	882
150	156	879
151	157	877
152	158	875
153	158	873
154	160	872
155	160	869
156	161	867
157	162	864
158	162	861
159	163	859
160	164	855
161	164	852
162	165	850
163	166	847
164	167	845
165	167	843
166	168	840
167	169	838
168	170	836
169	171	834
170	171	833
171	173	837
172	175	837
173	176	835
174	176	833
175	177	831
176	178	829
177	179	826
178	179	824
179	180	821
180	181	819
181	181	817
182	182	814
183	183	812
184	183	810
185	184	808
186	185	806
187	186	804
188	187	802
189	188	802
190	189	800
191	190	799
192	190	798
193	191	796
194	192	794
195	193	792
196	194	790
197	194	788
198	195	786
199	196	784
200	196	782
201	197	780
202	198	778
203	198	776
204	199	774
205	200	772
206	201	770
207	201	768
208	203	770
209	204	770
210	205	769
211	206	768
212	207	766
213	208	764
214	208	762
215	209	761
216	210	759
217	210	756
218	211	754
219	212	752
220	213	751
221	213	749
222	214	747
223	215	745
224	215	743
225	216	742
226	217	740
227	218	740
228	219	738
229	220	738
230	221	736
231	222	735
232	222	733
233	223	731
234	224	729
235	224	728
236	225	726
237	226	724
238	226	722
239	227	721
240	228	719
241	229	718
242	230	716
243	230	715
244	231	714
245	232	712
246	235	719
247	236	717
248	237	716
249	238	715
250	239	714
251	240	713
252	241	711
253	241	710
254	242	709
255	243	708
256	244	706
257	245	705
258	246	704
259	247	703
260	247	701
261	248	701
262	249	699
263	250	699
264	251	697
265	252	696
266	253	694
267	253	693
268	254	691
269	255	689
270	255	688
271	256	687
272	257	685
273	258	684
274	259	682
275	259	681
276	260	679
277	261	677
278	261	676
279	262	675
280	263	674
281	264	673
282	265	672
283	266	670
284	266	669
285	267	668
286	268	667
287	269	665
288	270	664
289	271	663
290	274	668
291	276	671
292	281	679
293	286	688
294	289	691
295	291	692
296	294	697
297	298	702
298	300	703
299	301	703
300	302	701
301	303	700
302	304	699
303	304	698
304	306	698
305	309	701
306	311	702
307	312	701
308	313	700
309	314	699
310	315	698
311	316	697
312	317	697
313	318	696
314	320	695
315	324	702
316	328	706
317	339	728
318	347	742
319	350	745
320	352	745
321	358	755
322	364	764
323	391	816
324	397	826
325	415	858
326	420	865
327	437	896
328	441	900
329	444	902
330	445	900
331	448	901
332	450	902
333	454	905
334	456	906
335	458	905
336	459	904
337	461	903
338	462	902
339	464	902
340	466	902
341	469	904
342	474	909
343	476	908
344	477	907
345	483	913
346	486	915
347	488	914
348	490	914
349	492	914
350	494	913
351	496	913
352	499	915
353	501	914
354	503	915
355	507	917
356	508	915
357	514	922
358	521	931
359	523	930
360	525	930
361	528	931
362	531	932
363	534	933
364	535	932
365	536	930
366	539	930
367	542	931
368	544	930
369	545	929
370	547	928
371	549	928
372	551	927
373	553	926
374	557	928
375	559	928
376	562	929
377	564	928
378	568	930
379	573	935
380	575	934
381	576	933
382	579	933
383	581	932
384	583	932
385	586	933
386	589	933
387	591	932
388	593	931
389	594	929
390	597	931
391	601	932
392	603	932
393	604	930
394	606	928
395	610	931
396	612	929
397	616	932
398	619	932
399	624	937
400	627	936
401	629	936
402	630	934
403	633	935
404	637	935
405	639	935
406	642	936
407	646	937
408	648	937
409	650	936
410	654	938
411	656	937
412	659	937
413	663	938
414	665	938
415	666	935
416	669	935
417	671	934
418	673	934
419	675	933
420	678	933
421	680	932
422	682	931
423	686	932
424	688	932
425	690	930
426	692	929
427	695	929
428	696	927
429	698	926
430	701	925
431	703	924
432	705	923
433	707	922
434	709	921
435	713	922
436	715	922
437	718	921
438	720	920
439	721	918
440	723	917
441	726	916
442	727	914
443	729	913
444	731	912
445	733	910
446	742	918
447	745	918
448	748	918
449	750	917
450	752	915
451	757	918
452	760	918
453	763	918
454	765	916
455	771	920
456	774	919
457	775	918
458	781	921
459	783	920
460	788	922
461	791	921
462	793	920
463	796	919
464	798	918
465	800	916
466	802	916
467	803	913
468	806	912
469	808	911
470	810	910
471	812	909
472	814	907
473	815	905
474	818	904
475	819	902
476	821	900
477	823	899
478	826	898
479	828	897
480	830	896
481	833	895
482	835	894
483	837	892
484	839	891
485	841	889
486	843	888
487	846	887
488	848	886
489	849	884
490	852	883
491	854	882
492	856	880
493	858	879
494	862	879
495	863	877
496	865	876
497	867	874
498	869	872
499	871	871
500	873	870
501	877	870
502	879	869
503	881	867
504	883	866
505	886	865
506	888	863
507	890	862
508	892	861
509	894	859
510	896	858
511	898	856
512	900	855
513	902	853
514	904	852
515	907	851
516	908	849
517	910	847
518	913	847
519	915	845
520	917	843
521	920	842
522	923	841
523	930	845
524	931	843
525	933	841
526	937	841
527	942	842
528	944	840
529	946	839
530	948	837
531	949	835
532	951	833
533	952	830
534	954	829
535	955	827
536	956	825
537	959	823
538	960	821
539	963	820
540	966	819
541	968	818
542	970	816
543	971	814
544	972	812
545	975	811
546	977	809
547	979	807
548	981	806
549	985	806
550	990	806
551	996	808
552	999	807
553	1003	807
554	1010	810
555	1012	808
556	1013	806
557	1016	805
558	1018	803
559	1020	801
560	1021	798
561	1022	796
562	1023	794
563	1024	791
564	1025	789
565	1028	788
566	1029	786
567	1032	785
568	1034	783
569	1035	781
570	1037	779
571	1039	777
572	1041	776
573	1043	774
574	1045	772
575	1048	772
576	1050	770
577	1052	768
578	1054	766
579	1056	764
580	1058	763
581	1061	762
582	1063	760
583	1064	758
584	1065	756
585	1067	753
586	1069	752
587	1071	750
588	1074	749
589	1077	748
590	1079	746
591	1080	744
592	1081	742
593	1083	740
594	1085	738
595	1087	737
596	1089	735
597	1091	733
598	1094	732
599	1096	731
600	1099	730
601	1101	728
602	1104	726
603	1106	725
604	1108	723
605	1110	722
606	1113	720
607	1115	719
608	1117	717
609	1119	715
610	1121	713
611	1122	711
612	1124	709
613	1126	708
614	1127	706
615	1130	704
616	1133	703
617	1136	702
618	1138	700
619	1140	699
620	1144	698
621	1148	697
622	1149	695
623	1154	695
624	1156	693
625	1157	691
626	1158	689
627	1159	687
628	1161	685
629	1164	683
630	1166	682
631	1168	680
632	1170	678
633	1172	676
634	1175	675
635	1177	673
636	1179	672
637	1182	670
638	1183	668
639	1184	666
640	1186	664
641	1188	662
642	1190	660
643	1192	659
