iter	Passed	Remaining
0	122	122743
1	125	62501
2	127	42265
3	129	32182
4	131	26186
5	133	22104
6	135	19192
7	136	16981
8	139	15317
9	141	14050
10	143	12931
11	145	11987
12	147	11190
13	148	10481
14	150	9864
15	151	9342
16	154	8939
17	155	8507
18	157	8110
19	158	7753
20	159	7432
21	160	7132
22	161	6856
23	162	6601
24	163	6367
25	164	6153
26	165	5951
27	166	5766
28	168	5626
29	169	5469
30	169	5311
31	170	5163
32	171	5027
33	172	4902
34	173	4778
35	173	4658
36	174	4543
37	175	4434
38	175	4331
39	176	4234
40	177	4140
41	177	4056
42	178	3973
43	179	3895
44	180	3826
45	181	3767
46	182	3704
47	183	3639
48	184	3576
49	184	3512
50	185	3452
51	186	3393
52	187	3342
53	187	3292
54	188	3239
55	189	3189
56	189	3140
57	190	3092
58	190	3045
59	191	3001
60	192	2964
61	193	2923
62	194	2892
63	195	2857
64	196	2822
65	196	2787
66	197	2752
67	198	2717
68	198	2684
69	199	2653
70	200	2622
71	201	2591
72	201	2561
73	202	2532
74	203	2503
75	203	2477
76	204	2451
77	205	2427
78	206	2402
79	206	2378
80	207	2355
81	208	2333
82	208	2306
83	210	2290
84	210	2269
85	211	2248
86	212	2227
87	212	2206
88	213	2187
89	214	2171
90	215	2152
91	216	2134
92	216	2115
93	217	2097
94	218	2078
95	218	2060
96	219	2042
97	220	2025
98	220	2008
99	221	1991
100	221	1975
101	222	1958
102	223	1943
103	223	1927
104	225	1918
105	225	1905
106	226	1894
107	227	1880
108	228	1865
109	228	1852
110	229	1838
111	230	1824
112	230	1811
113	231	1798
114	231	1785
115	232	1772
116	233	1759
117	233	1747
118	234	1735
119	234	1722
120	235	1711
121	236	1698
122	236	1687
123	237	1676
124	237	1665
125	238	1654
126	239	1643
127	240	1637
128	241	1629
129	242	1619
130	242	1609
131	243	1599
132	243	1590
133	244	1580
134	245	1570
135	245	1561
136	246	1552
137	247	1543
138	247	1534
139	248	1525
140	248	1516
141	249	1506
142	249	1498
143	250	1489
144	251	1481
145	251	1473
146	252	1464
147	253	1456
148	253	1448
149	254	1441
150	255	1435
151	255	1428
152	256	1420
153	257	1413
154	257	1406
155	258	1398
156	259	1391
157	259	1384
158	260	1377
159	261	1370
160	261	1362
161	262	1356
162	262	1349
163	263	1342
164	263	1335
165	264	1329
166	265	1322
167	265	1316
168	266	1309
169	267	1304
170	267	1298
171	268	1293
172	270	1291
173	271	1287
174	271	1281
175	272	1275
176	273	1270
177	273	1264
178	274	1259
179	275	1254
180	275	1248
181	276	1243
182	277	1237
183	277	1232
184	278	1226
185	279	1221
186	279	1216
187	280	1211
188	281	1206
189	281	1201
190	282	1196
191	283	1191
192	283	1186
193	284	1182
194	285	1179
195	286	1175
196	287	1171
197	287	1166
198	288	1161
199	289	1156
200	289	1151
201	290	1147
202	290	1142
203	291	1137
204	292	1133
205	292	1128
206	293	1124
207	294	1120
208	294	1115
209	295	1111
210	296	1106
211	296	1102
212	297	1098
213	298	1095
214	298	1091
215	299	1088
216	300	1084
217	301	1081
218	302	1077
219	302	1072
220	303	1069
221	303	1065
222	304	1061
223	305	1057
224	305	1053
225	306	1049
226	307	1045
227	307	1042
228	308	1038
229	309	1034
230	309	1030
231	310	1027
232	310	1023
233	311	1019
234	312	1016
235	312	1012
236	313	1009
237	314	1005
238	315	1003
239	316	1001
240	316	998
241	317	995
242	318	991
243	318	988
244	319	984
245	320	981
246	320	977
247	321	974
248	321	971
249	322	967
250	323	964
251	323	961
252	324	957
253	325	954
254	325	951
255	326	948
256	327	946
257	328	943
258	329	941
259	330	939
260	330	936
261	331	933
262	332	930
263	332	927
264	333	924
265	333	921
266	334	918
267	335	915
268	335	912
269	336	909
270	337	906
271	337	903
272	338	900
273	338	898
274	339	895
275	340	893
276	341	890
277	342	888
278	342	885
279	343	884
280	344	882
281	345	880
282	346	877
283	346	874
284	347	872
285	348	869
286	348	866
287	349	864
288	350	861
289	351	859
290	351	856
291	352	854
292	353	851
293	353	849
294	354	846
295	355	844
296	355	841
297	356	839
298	356	836
299	357	834
300	358	831
301	359	831
302	361	831
303	362	829
304	362	826
305	363	824
306	363	821
307	364	819
308	365	816
309	365	814
310	366	811
311	367	809
